Source,Number,Content,Time,ConversationID,SIMCardID,Local,Reserved

From,106980095533,"zyyunwh02-STGW Wget_100M Result:[WH_NH_AZ_STGW_WAN_ZH_SET2]10.55.64.101 download file time too long ,three time is :8.9s,0.5s,0.6s, please check it! 12-19,14:12:42 client ip:10.0.0.6【建设银行】",2024/12/19 14:13:19,1143,0,,
From,106980095533,"云哨告警恢复 | tcs名称: 建行云 | 地域: wh | 产品: tcs | 规则: 磁盘io wait平均时间 | 对象: 10.55.36.144 | 等级: 次要 | 策略: CLB-南湖-信创区-双AZ-七层内网-ZH-SET2-物理服务器 | 条件: 磁盘io wait平均时间>100 (ms) | 描述: {cluster="global", device="/dev/sda", hostType="physics", node="10.55.36.144", sn="YS2B30600268"} | 恢复时间: 2024-12-19 14:08:20【建设银行】",2024/12/19 14:08:56,1143,0,,
From,106980095533,"【告警级别：次要告警 】告警对象：node,告警名称:CLB-南湖-信创区-双AZ-七层内网-ZH-SET2-物理服务器 ,告警内容: 触发条件:磁盘io wait平均时间>100 (ms)|当前值为:112.60|磁盘io wait平均时间|{cluster=_global_, device=_/dev/sda_, hostType=_physics_, node=_10.55.36.144_, sn=_YS2B30600268_}，区域：南湖信创区, 发生时间：2024-12-19 14:07:20，首次发生时间：2024-12-19 14:07:20【P-CLB,P-CLB(自用区-负载均衡) | 自用信创武汉一区-负载均衡CLB网关节点-七层-内网-ipv4-租户集群2,P-CLBWNZYA1LD7LANZH002| 10.55.36.144 】【告警来源：公有云-管控端-Barad】【建设银行】",2024/12/19 14:07:47,1143,0,,
From,106980095533,"云哨告警触发 | tcs名称: 建行云 | 地域: wh | 产品: tcs | 规则: 磁盘io wait平均时间 | 对象: 10.55.36.144 | 等级: 次要 | 策略: CLB-南湖-信创区-双AZ-七层内网-ZH-SET2-物理服务器 | 条件: 磁盘io wait平均时间>100 (ms) | 当前值为: 112.60 | 描述: {cluster="global", device="/dev/sda", hostType="physics", node="10.55.36.144", sn="YS2B30600268"} | 开始时间: 2024-12-19 14:07:20【建设银行】",2024/12/19 14:07:29,1143,0,,
From,106980095533,"【告警级别：恢复通知 】告警对象：10.229.135.19，告警名称：mem.pool0 ，告警内容：mem.pool0已恢复到59.63 %,由告警规则关闭，区域：稻香湖自用区, 发生时间：2024-12-19 13:27:52，首次发生时间：2024-12-19 13:24:42【P-VPC,P-VPC(自用区-虚拟私有网络) | 自用北京零区-VPCGW网关节点-COS集群组,P-VPCGW-BJAZ0-COS| 10.229.135.19 】【告警来源：Infrastructure Monitoring】【恢复时间：】,【VPCGW内存池监控】【建设银行】",2024/12/19 13:28:26,1143,0,,
From,106980095533,"【告警级别：次要告警 】告警对象：10.229.135.19，告警名称：mem.pool0 ，告警内容：mem.pool0已达到61.63 %, 连续6次大于阈值60.0%，区域：稻香湖自用区, 发生时间：2024-12-19 13:24:42，首次发生时间：2024-12-19 13:24:42【P-VPC,P-VPC(自用区-虚拟私有网络) | 自用北京零区-VPCGW网关节点-COS集群组,P-VPCGW-BJAZ0-COS| 10.229.135.19 】【告警来源：Infrastructure Monitoring】【恢复时间：】,【VPCGW内存池监控】【建设银行】",2024/12/19 13:25:20,1143,0,,
From,106980095533,"【告警级别：恢复通知 】告警对象：10.229.135.19，告警名称：mem.pool0 ，告警内容：mem.pool0已恢复到58.28 %,由告警规则关闭，区域：稻香湖自用区, 发生时间：2024-12-19 13:18:22，首次发生时间：2024-12-19 13:18:12【P-VPC,P-VPC(自用区-虚拟私有网络) | 自用北京零区-VPCGW网关节点-COS集群组,P-VPCGW-BJAZ0-COS| 10.229.135.19 】【告警来源：Infrastructure Monitoring】【恢复时间：】,【VPCGW内存池监控】【建设银行】",2024/12/19 13:18:57,1143,0,,
From,106980095533,"【告警级别：次要告警 】告警对象：10.229.135.19，告警名称：mem.pool0 ，告警内容：mem.pool0已达到60.31 %, 连续6次大于阈值60.0%，区域：稻香湖自用区, 发生时间：2024-12-19 13:18:12，首次发生时间：2024-12-19 13:18:12【P-VPC,P-VPC(自用区-虚拟私有网络) | 自用北京零区-VPCGW网关节点-COS集群组,P-VPCGW-BJAZ0-COS| 10.229.135.19 】【告警来源：Infrastructure Monitoring】【恢复时间：】,【VPCGW内存池监控】【建设银行】",2024/12/19 13:18:52,1143,0,,
From,106980095533,"【告警级别：恢复通知 】告警对象：10.229.135.19，告警名称：mem.pool0 ，告警内容：mem.pool0已恢复到59.77 %,由告警规则关闭，区域：稻香湖自用区, 发生时间：2024-12-19 12:41:52，首次发生时间：2024-12-19 12:41:42【P-VPC,P-VPC(自用区-虚拟私有网络) | 自用北京零区-VPCGW网关节点-COS集群组,P-VPCGW-BJAZ0-COS| 10.229.135.19 】【告警来源：Infrastructure Monitoring】【恢复时间：】,【VPCGW内存池监控】【建设银行】",2024/12/19 12:42:29,1143,0,,
